Cell,Type
B05MGE171027P1,L5_6_Fezf2_Lrrk1_Pcp4
E09MGE171027P3,L5_6_Fezf2_Lrrk1_Pcp4
F11HB47NeoCP6BSA,L5_6_Fezf2_Lrrk1_Pcp4
D09MGE171027P3,L5_6_Fezf2_Lrrk1_Pcp4
H17HB47NeoCP7,L5_6_Fezf2_Lrrk1_Pcp4
D07170707P3,L5_6_Fezf2_Lrrk1_Pcp4
D11MGE171027P3,L5_6_Fezf2_Lrrk1_Pcp4
D10170918P2,L5_6_Fezf2_Lrrk1_Pcp4
B14HB47NeoCP9,L5_6_Fezf2_Lrrk1_Sema3e
G04170707P3,L5_6_Fezf2_Lrrk1_Pcp4
G02HB47NeoCP4,L5_6_Fezf2_Lrrk1_Sema3e
A11MGE171027P3,L5_6_Fezf2_Lrrk1_Pcp4
D08170707P3,L5_6_Fezf2_Lrrk1_Pcp4
A03HB47NeoCP4,L5_6_Fezf2_Lrrk1_Pcp4
G03170918P3,L5_6_Fezf2_Lrrk1_Pcp4
B05170918P3,L5_6_Fezf2_Lrrk1_Sema3e
C11HB47NeoCP6BSA,L5_6_Fezf2_Lrrk1_Sema3e
C05HB47NeoCP4,L5_6_Fezf2_Lrrk1_Pcp4
D02MGE171027P1,L5_6_Fezf2_Lrrk1_Pcp4
H04170707P3,L5_6_Fezf2_Lrrk1_Pcp4
F01HB47NeoCP8,L5_6_Fezf2_Lrrk1_Pcp4
H21HB47NeoCP10,L5_6_Fezf2_Lrrk1_Sema3e
B06170707P3,L5_6_Fezf2_Lrrk1_Pcp4
E02170707P3,L5_6_Fezf2_Lrrk1_Pcp4
F17HB47NeoCP7,L5_6_Fezf2_Lrrk1_Pcp4
F06170918P3,L5_6_Fezf2_Lrrk1_Sema3e
F10170707P1,L4_Rorb_Arhgap15
G06170707P3,L5_6_Fezf2_Lrrk1_Pcp4
C06170918P3,L5_6_Fezf2_Lrrk1_Pcp4
D08170918P3,L5_6_Fezf2_Lrrk1_Pcp4
E08HB47NeoCP8,L5_6_Fezf2_Lrrk1_Sema3e
G05170918P3,L5_6_Fezf2_Lrrk1_Pcp4
D14HB47NeoCP9,L5_6_Fezf2_Lrrk1_Pcp4
H05MGE171027P2,L5_6_Fezf2_Lrrk1_Pcp4
A15HB47NeoCP9,L5_6_Fezf2_Lrrk1_Sema3e
A03MGE171027P1,L5_6_Fezf2_Lrrk1_Pcp4
G24HB47NeoCP11,L5_6_Fezf2_Lrrk1_Pcp4
F02170707P3,L5_6_Fezf2_Lrrk1_Sema3e
E21HB47NeoCP10,L5_6_Fezf2_Lrrk1_Sema3e
C10170918P2,L5_6_Fezf2_Lrrk1_Pcp4
H15HB47NeoCP9,L5_6_Fezf2_Tle4_Abo
A08170707P3,L5_6_Fezf2_Tle4_Abo
H24HB47NeoCP11,L5_6_Fezf2_Tle4_Htr2c
G01170918P3,L5_6_Fezf2_Tle4_Abo
F23HB47NeoCP11,L5_6_Fezf2_Tle4_Htr2c
D06170918P3,L5_6_Fezf2_Tle4_Abo
G10170707P1,L3_Cux2_Prss12
G08CGE171115P1,L5_6_Fezf2_Tle4_Abo
A08HB47NeoCP8,L5_6_Fezf2_Tle4_Abo
H14HB47NeoCP9,L5_6_Fezf2_Tle4_Htr2c
F03170707P3,L3_Cux2_Prss12
D02170707P3,L3_Cux2_Prss12
C22HB47NeoCP10,L5_6_Fezf2_Tle4_Abo
D01170918P3,L5_6_Fezf2_Tle4_Abo
C10HB47NeoCP6BSA,L5_6_Fezf2_Tle4_Abo
A10MGE171027P3,L5_6_Themis_Sema3a
E24HB47NeoCP11,L5_6_Fezf2_Tle4_Abo
A23HB47NeoCP8Add,L5_6_Fezf2_Tle4_Htr2c
F09MGE171027P3,L5_6_Fezf2_Tle4_Abo
F09170918P2,L5_6_Fezf2_Tle4_Scube1
D08HB47NeoCP8,L5_6_Fezf2_Tle4_Htr2c
B02MGE171027P1,L5_6_Fezf2_Tle4_Abo
D10HB47NeoCP6BSA,L5_6_Fezf2_Tle4_Abo
C07HB47NeoCP8,L5_6_Fezf2_Tle4_Htr2c
B16HB47NeoCP9,L5_6_Fezf2_Tle4_Htr2c
C11HB47NeoCP8,L5_6_Fezf2_Tle4_Abo
F07NeuN171115P1,L5_6_Fezf2_Tle4_Abo
A03170707P3,L5_6_Fezf2_Tle4_Scube1
E09170707P2,L3_Cux2_Prss12
F20HB47NeoCP10,L5_6_Fezf2_Tle4_Htr2c
D03HB47NeoCP8,L5_6_Fezf2_Tle4_Htr2c
C08CGE171115P1,L5_6_Fezf2_Tle4_Htr2c
B07170918P3,L5_6_Fezf2_Tle4_Scube1
E20HB47NeoCP7,L5_6_Fezf2_Tle4_Htr2c
B04MGE171027P1,L5_6_Fezf2_Tle4_Abo
B03HB47NeoCP8,L5_6_Fezf2_Tle4_Abo
E06HB47NeoCP8,L5_6_Fezf2_Tle4_Htr2c
E10170918P2,L5_6_Themis_Ntng2
H11HB47NeoCP9,L5_6_Themis_Ntng2
E08170918P3,L5_6_Themis_Ntng2
A05MGE171027P1,L5_6_Themis_Ntng2
F03MGE171027P1,L5_6_Themis_Ntng2
B03170918P3,L5_6_Themis_Ntng2
B11HB47NeoCP6BSA,L5_6_Themis_Ntng2
E09170918P2,L5_6_Themis_Ntng2
D24HB47NeoCP11,L5_6_Themis_Ntng2
H06170707P3,L5_6_Themis_Sema3a
F15HB47NeoCP6BSA,L5_6_Themis_Sema3a
E07170707P3,L3_Cux2_Prss12
F02170918P3,L5_6_Themis_Sema3a
F09HB47NeoCP8,L5_6_Themis_Ntng2
H03170707P3,L2_3_Cux2_Frem3
B06170918P3,L3_Cux2_Prss12
B01170707P3,L2_3_Cux2_Frem3
H08170918P2,L3_Cux2_Prss12
A06170918P3,L3_Cux2_Prss12
H08170707P3,L3_Cux2_Prss12
D09170707P2,L3_Cux2_Prss12
D10MGE171027P3,L3_Cux2_Prss12
E03170918P3,L3_Cux2_Prss12
G10MGE171027P3,L3_Cux2_Prss12
F05170918P3,L3_Cux2_Prss12
F08170918P3,L3_Cux2_Prss12
G22HB47NeoCP7,L3_Cux2_Prss12
D04170918P3,L3_Cux2_Prss12
B11MGE171027P3,L3_Cux2_Prss12
E10170707P1,L3_Cux2_Prss12
H10170707P1,L3_Cux2_Prss12
C05170707P3,L3_Cux2_Prss12
E06170707P3,L3_Cux2_Prss12
C02170707P3,L3_Cux2_Prss12
C03170707P3,L3_Cux2_Prss12
B02170918P3,L3_Cux2_Prss12
F04170918P3,L3_Cux2_Prss12
D04170707P3,L3_Cux2_Prss12
H02HB47NeoCP4,L3_Cux2_Prss12
C05MGE171027P1,L3_Cux2_Prss12
C05HB47NeoCP8,L3_Cux2_Prss12
H09170707P2,L3_Cux2_Prss12
G04MGE171027P1,L2_3_Cux2_Frem3
D05MGE171027P1,L3_Cux2_Prss12
A04170707P3,L3_Cux2_Prss12
G09170918P2,L3_Cux2_Prss12
D01170707P3,L3_Cux2_Prss12
A02170707P3,L2_3_Cux2_Frem3
G08170707P3,L2_3_Cux2_Frem3
